sample_ID	paper_number	compound	chemical_family	Ln_ion	Ln_anisotropy	Ln_Kramers	concentration	coordination_number	number_of_ligands	coordination_elements	X_im_max	T_B3	T_B3H	H	Fit	Ueff	Ueff_2	Ueff_ff	tau0	tau0_ff	Hyst	T_hyst	DOI	reference	year	mol_cluster	mag_struct_cluster	mol_cluster_2	mag_struct_cluster_2	link_to_CIF
405	2014_43	Dy(BcMe)3	Other Families	Dy3+	Oblate	Kramers	100	9	3	Others	Freq-dependent X''	NA	NA	NA	Argand	47.23	NA	NA	6e-9	NA	Not Measured	NA	10.1021/ja501569t	Meihaus, K. R., Minasian, S. G., Lukens, W. W., Kozimor, S. A., Shuh, D. K., Tyliszczak, T. & Long, J. R. 2014 Influence of Pyrazolate vs N-Heterocyclic Carbene Ligands on the Slow Magnetic Relaxation of Homoleptic Trischelate Lanthanide(III) and Uranium(III) Complexes. Journal of the American Chemical Society 136, 6056–6068. (doi:10.1021/ja501569t)	2014	B	II	C	IV	http://www.crystallography.net/cod/result/?doi=10.1021/ja501569t
406	2014_43	Dy(BcMe)3	Other Families	Dy3+	Oblate	Kramers	12	9	3	Others	Freq-dependent X''	NA	NA	NA	Argand	48.38	NA	NA	4.2e-9	NA	Not Measured	NA	10.1021/ja501569t	Meihaus, K. R., Minasian, S. G., Lukens, W. W., Kozimor, S. A., Shuh, D. K., Tyliszczak, T. & Long, J. R. 2014 Influence of Pyrazolate vs N-Heterocyclic Carbene Ligands on the Slow Magnetic Relaxation of Homoleptic Trischelate Lanthanide(III) and Uranium(III) Complexes. Journal of the American Chemical Society 136, 6056–6068. (doi:10.1021/ja501569t)	2014	B	II	C	IV	http://www.crystallography.net/cod/result/?doi=10.1021/ja501569t
407	2014_43	Ho(BcMe)3	Other Families	Ho3+	Oblate	Non-Kramers	100	9	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja501569t	Meihaus, K. R., Minasian, S. G., Lukens, W. W., Kozimor, S. A., Shuh, D. K., Tyliszczak, T. & Long, J. R. 2014 Influence of Pyrazolate vs N-Heterocyclic Carbene Ligands on the Slow Magnetic Relaxation of Homoleptic Trischelate Lanthanide(III) and Uranium(III) Complexes. Journal of the American Chemical Society 136, 6056–6068. (doi:10.1021/ja501569t)	2014	B	Unassigned	E	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1021/ja501569t
408	2014_43	Er(BcMe)3	Other Families	Er3+	Prolate	Kramers	100	9	3	Others	No Freq-dependent X''	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1021/ja501569t	Meihaus, K. R., Minasian, S. G., Lukens, W. W., Kozimor, S. A., Shuh, D. K., Tyliszczak, T. & Long, J. R. 2014 Influence of Pyrazolate vs N-Heterocyclic Carbene Ligands on the Slow Magnetic Relaxation of Homoleptic Trischelate Lanthanide(III) and Uranium(III) Complexes. Journal of the American Chemical Society 136, 6056–6068. (doi:10.1021/ja501569t)	2014	C	Unassigned	D	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1021/ja501569t
409	2014_44	[TbIII(H3L)(OAc)](ClO4)2·MeOH·H2O	Mixed Ligands	Tb3+	Oblate	Non-Kramers	100	9	4	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	Argand	3.2	NA	NA	1e-6	NA	Not Measured	NA	10.1021/ic501453h	Shintoyo, S. et al. 2014 Crystal Field Splitting of the Ground State of Terbium(III) and Dysprosium(III) Complexes with a Triimidazolyl Tripod Ligand and an Acetate Determined by Magnetic Analysis and Luminescence. Inorganic Chemistry 53, 10359–10369. (doi:10.1021/ic501453h)	2014	B	II	E	III	http://www.crystallography.net/cod/result/?doi=10.1021/ic501453h
410	2014_44	[DyIII(H3L)(OAc)](ClO4)2·MeOH·H2O	Mixed Ligands	Dy3+	Oblate	Kramers	100	9	4	Oxygen+Nitrogen	No Freq-dependent X''	NA	NA	NA	Argand	8.5	NA	NA	1.6e-7	NA	Not Measured	NA	10.1021/ic501453h	Shintoyo, S. et al. 2014 Crystal Field Splitting of the Ground State of Terbium(III) and Dysprosium(III) Complexes with a Triimidazolyl Tripod Ligand and an Acetate Determined by Magnetic Analysis and Luminescence. Inorganic Chemistry 53, 10359–10369. (doi:10.1021/ic501453h)	2014	B	II	B	III	http://www.crystallography.net/cod/result/?doi=10.1021/ic501453h
411	2014_45	[Gd(hfac)3(NIT-C3H5)(H2O)]	Radical	Gd3+	Isotropic	Kramers	100	8	5	Oxygen	Not Measured	NA	NA	NA	NA	NA	NA	NA	NA	NA	Not Measured	NA	10.1039/c4nj00627e	Hu, P., Sun, Z., Wang, X., Li, L., Liao, D. & Luneau, D. 2014 Magnetic relaxation in mononuclear Tb complex involving a nitronyl nitroxide ligand. New J. Chem. 38, 4716–4721. (doi:10.1039/c4nj00627e)	2014	A	Unassigned	A	Unassigned	http://www.crystallography.net/cod/result/?doi=10.1039/c4nj00627e
412	2014_45	[Tb(hfac)3(NIT-C3H5)(H2O)]	Radical	Tb3+	Oblate	Non-Kramers	100	8	5	Oxygen	Freq-dependent X''	NA	NA	NA	Argand	8.53	NA	NA	2.26e-6	NA	Not Measured	NA	10.1039/c4nj00627e	Hu, P., Sun, Z., Wang, X., Li, L., Liao, D. & Luneau, D. 2014 Magnetic relaxation in mononuclear Tb complex involving a nitronyl nitroxide ligand. New J. Chem. 38, 4716–4721. (doi:10.1039/c4nj00627e)	2014	B	II	E	VII	http://www.crystallography.net/cod/result/?doi=10.1039/c4nj00627e
413	2014_46	[Tb(OETAP)2]	LnPc2	Tb3+	Oblate	Non-Kramers	100	8	2	Nitrogen	T_B3 > 2K	38	NA	NA	NA	383	NA	NA	1.3e-8	NA	Not Measured	NA	10.1002/chem.201402869	Giménez-Agulló, N., de Pipaón, C. S., Adriaenssens, L., Filibian, M., Martínez-Belmonte, M., Escudero-Adán, E. C., Carretta, P., Ballester, P. & Galán-Mascarós, J. R. 2014 Single-Molecule-Magnet Behavior in the Family of [Ln(OETAP)2] Double-Decker Complexes (Ln=Lanthanide, OETAP=Octa(ethyl)tetraazaporphyrin). Chemistry - A European Journal 20, 12817–12825. (doi:10.1002/chem.201402869)	2014	D	III	F	VIII	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=982424
414	2014_46	[Dy(OETAP)2]	LnPc2	Dy3+	Oblate	Kramers	100	8	2	Nitrogen	Freq-dependent X''	NA	NA	NA	NA	32	NA	NA	1.6e-6	NA	Not Measured	NA	10.1002/chem.201402869	Giménez-Agulló, N., de Pipaón, C. S., Adriaenssens, L., Filibian, M., Martínez-Belmonte, M., Escudero-Adán, E. C., Carretta, P., Ballester, P. & Galán-Mascarós, J. R. 2014 Single-Molecule-Magnet Behavior in the Family of [Ln(OETAP)2] Double-Decker Complexes (Ln=Lanthanide, OETAP=Octa(ethyl)tetraazaporphyrin). Chemistry - A European Journal 20, 12817–12825. (doi:10.1002/chem.201402869)	2014	D	III	F	VIII	https://www.ccdc.cam.ac.uk/structures/Search?Ccdcid=982424
